Date,Open,High,Low,Close,Adj Close,Volume
2021-02-12,35.04,41.37,33.51,39.98,39.98,69175945
2021-02-11,32.25,33.16,31.2,31.5,31.5,26350021
2021-02-10,32.0,34.49,30.0,32.87,32.87,32773767
2021-02-09,31.7,33.69,30.22,33.31,33.31,28345492
2021-02-08,34.17,34.98,30.3,32.88,32.88,35684294
2021-02-05,30.9,36.0,30.7001,34.65,34.65,66665345
2021-02-04,29.0,31.45,26.13,30.22,30.22,45385197
2021-02-03,32.35,34.5,27.575,29.49,29.49,85281235
2021-02-02,27.98,35.18,26.46,32.14,32.14,97254882
2021-02-01,23.64,25.97,22.73,25.2,25.2,43231906
2021-01-29,21.7,24.35,21.21,22.88,22.88,34280364
2021-01-28,21.34,22.88,20.01,22.33,22.33,33334117
2021-01-27,21.29,23.33,20.45,21.15,21.15,44960820
2021-01-26,24.37,24.66,22.37,24.44,24.44,41562234
2021-01-25,26.77,27.3,18.55,24.95,24.95,117369668
2021-01-22,18.49,22.67,18.0,22.35,22.35,94164463
2021-01-21,18.09,18.25,17.11,17.81,17.81,23590472
2021-01-20,18.35,18.73,17.8,18.06,18.06,27627682
2021-01-19,18.05,18.69,17.5,17.9,17.9,68336358
2021-01-15,17.81,21.0,16.2,18.36,18.36,184854181
2021-01-14,18.71,20.14,16.1,17.36,17.36,140982953
2021-01-13,15.1,17.12,14.5,16.72,16.72,94091530
2021-01-12,14.99,15.63,13.0,14.15,14.15,108859751
2021-01-11,10.05,14.0,10.03,13.2,13.2,108167484
2021-01-08,10.05,10.05,10.02,10.03,10.03,738187
2021-01-07,10.0,10.04,10.0,10.03,10.03,1075509
2021-01-06,10.0,10.02,10.0,10.01,10.01,636614
2021-01-05,10.04,10.04,10.0,10.02,10.02,685686
2021-01-04,10.03,10.08,10.02,10.04,10.04,1172658
2020-12-31,10.07,10.07,10.01,10.01,10.01,1266224
2020-12-30,10.04,10.08,10.02,10.07,10.07,3152683
2020-12-29,10.1,10.11,10.03,10.06,10.06,1784646
2020-12-28,10.11,10.18,10.04,10.08,10.08,4007382
2020-12-24,10.08,10.1,10.01,10.04,10.04,2093012
2020-12-23,10.03,10.03,9.995,10.03,10.03,2353666
2020-12-22,10.03,10.03,9.97,10.0,10.0,755643
2020-12-21,9.98,10.0,9.96,9.97,9.97,532777
2020-12-18,9.98,9.98,9.95,9.96,9.96,869000
2020-12-17,9.98,10.0,9.945,9.97,9.97,1483598
2020-12-16,9.95,10.0,9.94,9.945,9.945,1191593
2020-12-15,9.97,10.03,9.9,9.97,9.97,1162373
2020-12-14,9.96,9.98,9.94,9.98,9.98,1982462
2020-12-11,9.96,9.96,9.91,9.94,9.94,899986
2020-12-10,9.93,9.93,9.88,9.91,9.91,7606766
2020-12-09,9.89,9.97,9.84,9.92,9.92,3394259
2020-12-08,9.94,9.98,9.83,9.86,9.86,2296411
2020-12-07,9.88,9.98,9.87,9.94,9.94,2085323
2020-12-04,9.88,9.89,9.86,9.88,9.88,405431
2020-12-03,9.88,9.88,9.86,9.87,9.87,513207
2020-12-02,9.88,9.885,9.84,9.87,9.87,1440953
2020-12-01,9.87,9.88,9.82,9.88,9.88,1393800
2020-11-30,9.88,9.9,9.8261,9.88,9.88,1623718
2020-11-27,9.8,9.85,9.77,9.83,9.83,416161
2020-11-25,9.76,9.7662,9.7,9.76,9.76,1332376
2020-11-24,9.78,9.78,9.7,9.76,9.76,51361
2020-11-23,9.79,9.79,9.71,9.75,9.75,134369
2020-11-20,9.71,9.735,9.69,9.71,9.71,995889
2020-11-19,9.75,9.8,9.7,9.72,9.72,44545
2020-11-18,9.74,9.74,9.67,9.74,9.74,301651
2020-11-17,9.72,9.72,9.69,9.71,9.71,46038
2020-11-16,9.7,9.73,9.685,9.7,9.7,151275
2020-11-13,9.74,9.74,9.69,9.69,9.69,754783
2020-11-12,9.67,9.72,9.67,9.7,9.7,1501959
2020-11-11,9.69,9.7395,9.66,9.68,9.68,724462
2020-11-10,9.66,9.8,9.66,9.7,9.7,714714
2020-11-09,9.7,9.725,9.66,9.67,9.67,163474
2020-11-06,9.79,9.79,9.72,9.72,9.72,1443973
2020-11-05,9.76,9.78,9.73,9.77,9.77,1534452
2020-11-04,9.7,9.73,9.68,9.69,9.69,509822
2020-11-03,9.63,9.7,9.62,9.69,9.69,189840
2020-11-02,9.63,9.64,9.6,9.63,9.63,716681
2020-10-30,9.65,9.69,9.6,9.63,9.63,1154338
2020-10-29,9.66,9.7,9.62,9.65,9.65,1652882
2020-10-28,9.74,9.74,9.63,9.65,9.65,1571479
2020-10-27,9.65,9.7,9.64,9.65,9.65,304143
2020-10-26,9.65,9.66,9.64,9.65,9.65,2394804
2020-10-23,9.65,9.7,9.63,9.63,9.63,2067850
2020-10-22,9.66,9.67,9.63,9.65,9.65,1441881
2020-10-21,9.73,9.73,9.65,9.66,9.66,292303
2020-10-20,9.71,9.74,9.67,9.67,9.67,78163
2020-10-19,9.71,9.73,9.6765,9.68,9.68,348739
2020-10-16,9.69,9.705,9.67,9.68,9.68,304983
2020-10-15,9.67,9.72,9.6501,9.68,9.68,347983
2020-10-14,9.75,9.7699,9.68,9.68,9.68,2177911
2020-10-13,9.85,9.85,9.67,9.7,9.7,1623875
2020-10-12,9.82,9.82,9.73,9.73,9.73,172260
2020-10-09,9.76,9.77,9.7216,9.75,9.75,2401524
2020-10-08,9.7,9.75,9.7,9.7166,9.7166,550328
2020-10-07,9.72,9.75,9.67,9.71,9.71,1325422
2020-10-06,9.74,9.75,9.67,9.68,9.68,1902445
2020-10-05,9.8,9.8,9.69,9.71,9.71,3147963
2020-10-02,9.73,9.8,9.73,9.74,9.74,3925673
2020-10-01,9.85,9.85,9.74,9.7599,9.7599,1068527
2020-09-30,9.85,9.85,9.77,9.78,9.78,546245
2020-09-29,9.88,9.88,9.76,9.78,9.78,189577
2020-09-28,9.9,9.94,9.83,9.83,9.83,72303
2020-09-25,9.77,9.85,9.77,9.81,9.81,692465
2020-09-24,9.85,9.85,9.75,9.77,9.77,605537
2020-09-23,9.9,9.905,9.7901,9.85,9.85,192570
2020-09-22,9.96,9.96,9.85,9.88,9.88,1280789
2020-09-21,9.9,9.96,9.86,9.86,9.86,762763
2020-09-18,10.25,10.25,9.82,9.89,9.89,564328
