Date,Open,High,Low,Close,Adj Close,Volume
2021-02-12,15.28,16.14,14.82,15.6,15.6,14198907
2021-02-11,15.851,16.1,14.55,15.47,15.47,16889079
2021-02-10,17.0,17.77,15.02,15.67,15.67,26778922
2021-02-09,15.98,17.1,15.5122,16.72,16.72,24379539
2021-02-08,15.04,16.66,15.01,16.04,16.04,29141907
2021-02-05,14.8,15.37,14.165,14.9,14.9,18279869
2021-02-04,15.26,15.66,14.47,14.72,14.72,19598412
2021-02-03,15.19,16.2389,15.04,15.47,15.47,25622176
2021-02-02,14.14,15.18,13.76,14.67,14.67,29802748
2021-02-01,14.15,14.44,12.96,14.14,14.14,26373028
2021-01-29,13.97,15.13,13.5,13.74,13.74,28163479
2021-01-28,15.0035,15.15,13.4,14.35,14.35,29033325
2021-01-27,14.49,16.21,14.05,14.52,14.52,38893643
2021-01-26,16.9,17.89,15.58,15.59,15.59,44667346
2021-01-25,16.45,17.86,13.21,16.66,16.66,65243539
2021-01-22,12.6,14.66,12.4,14.39,14.39,52580308
2021-01-21,11.9,13.3,11.5,12.6,12.6,48019934
2021-01-20,11.24,11.86,11.12,11.52,11.52,33155309
2021-01-19,11.05,11.61,10.68,10.94,10.94,38709484
2021-01-15,10.76,10.95,10.27,10.38,10.38,32918100
2021-01-14,10.45,10.61,10.1,10.37,10.37,84971697
2021-01-13,9.75,11.45,9.66,11.43,11.43,59695205
2021-01-12,9.3,9.56,9.1,9.4,9.4,14612689
2021-01-11,8.92,9.85,8.86,9.29,9.29,25041446
2021-01-08,9.59,9.61,8.8,9.13,9.13,24495938
2021-01-07,8.34,9.53,8.34,9.34,9.34,37108539
2021-01-06,8.4222,8.65,7.88,8.09,8.09,25837674
2021-01-05,8.28,8.99,8.23,8.54,8.54,20715671
2021-01-04,9.255,9.33,8.31,8.53,8.53,32706922
2020-12-31,9.9,9.9146,9.03,9.1,9.1,30190489
2020-12-30,8.65,9.75,8.61,9.55,9.55,39457056
2020-12-29,8.63,8.88,8.05,8.59,8.59,44545177
2020-12-28,8.08,8.62,8.0,8.15,8.15,68709456
2020-12-24,9.3665,9.64,8.65,8.81,8.81,20314987
2020-12-23,9.55,10.49,8.63,8.77,8.77,52014060
2020-12-22,8.86,9.54,8.51,9.08,9.08,41327849
2020-12-21,7.0965,8.4198,7.0006,8.41,8.41,45693604
2020-12-18,6.87,7.29,6.61,7.15,7.15,33023962
2020-12-17,6.27,7.04,6.12,6.85,6.85,30694535
2020-12-16,6.4319,6.46,6.1419,6.27,6.27,13171134
2020-12-15,6.7735,6.97,6.3324,6.48,6.48,16287643
2020-12-14,6.5068,6.94,6.27,6.65,6.65,23829851
2020-12-11,6.41,6.48,6.03,6.14,6.14,20135091
2020-12-10,6.5,6.76,6.39,6.44,6.44,17754128
2020-12-09,7.09,7.251,6.35,6.67,6.67,28557693
2020-12-08,7.33,7.36,6.85,7.1,7.1,27919420
2020-12-07,6.585,7.16,6.55,6.67,6.67,60254523
2020-12-04,7.52,7.97,7.06,7.44,7.44,33338329
2020-12-03,6.843,7.72,6.79,7.58,7.58,47084562
2020-12-02,6.0,6.42,5.76,6.4,6.4,22191030
2020-12-01,6.62,6.89,6.07,6.33,6.33,23601180
2020-11-30,6.2,7.15,5.9,6.4,6.4,56374677
2020-11-27,6.3,7.39,6.26,6.53,6.53,45821803
2020-11-25,4.95,5.73,4.9,5.73,5.73,25120349
2020-11-24,5.425,5.55,4.63,4.99,4.99,22648074
2020-11-23,4.82,5.3,4.8,5.18,5.18,29031388
2020-11-20,4.32,4.69,4.2,4.43,4.43,55620246
2020-11-19,5.0081,5.88,4.96,5.86,5.86,26155898
2020-11-18,4.59,4.95,4.55,4.77,4.77,11877460
2020-11-17,4.06,4.85,4.01,4.47,4.47,17585636
2020-11-16,3.83,4.24,3.7908,4.21,4.21,13750517
2020-11-13,3.64,3.95,3.6,3.68,3.68,7318403
2020-11-12,3.48,3.86,3.37,3.58,3.58,11230961
2020-11-11,4.12,4.12,3.85,3.96,3.96,5999742
2020-11-10,4.4619,4.57,3.75,4.12,4.12,11142637
2020-11-09,4.42,4.61,3.98,4.32,4.32,15528338
2020-11-06,3.75,4.22,3.61,3.98,3.98,19759861
2020-11-05,2.99,3.98,2.93,3.77,3.77,24640327
2020-11-04,3.1,3.15,2.87,2.94,2.94,6485525
2020-11-03,3.0,3.19,2.91,3.02,3.02,6924360
2020-11-02,3.04,3.08,2.86,2.95,2.95,4990995
2020-10-30,2.96,3.04,2.67,3.04,3.04,10464353
2020-10-29,3.06,3.09,2.88,2.9,2.9,8573456
2020-10-28,3.1,3.15,2.82,3.03,3.03,9211332
2020-10-27,3.31,3.36,3.15,3.25,3.25,6895453
2020-10-26,3.17,3.51,3.0,3.13,3.13,19055673
2020-10-23,4.22,4.38,3.91,3.98,3.98,7327170
2020-10-22,3.9,4.205,3.65,4.14,4.14,8755785
2020-10-21,3.6,4.1,3.55,3.78,3.78,11026160
2020-10-20,4.02,4.35,3.4,3.74,3.74,23672143
2020-10-19,5.15,5.31,4.2611,4.38,4.38,28027694
2020-10-16,4.6,6.0,4.59,4.91,4.91,106026017
2020-10-15,3.52,4.48,3.38,4.48,4.48,32981448
2020-10-14,3.02,3.9,3.02,3.65,3.65,25856517
2020-10-13,3.06,3.3993,2.85,2.99,2.99,19389102
2020-10-12,2.73,3.13,2.68,3.06,3.06,22229545
2020-10-09,2.39,2.63,2.33,2.62,2.62,8685185
2020-10-08,2.44,2.46,2.27,2.39,2.39,3675714
2020-10-07,2.22,2.5,2.19,2.36,2.36,8495099
2020-10-06,2.3,2.32,2.15,2.21,2.21,6529149
2020-10-05,2.4,2.47,2.27,2.35,2.35,5465542
2020-10-02,2.17,2.63,2.17,2.36,2.36,11613728
2020-10-01,2.395,2.47,2.14,2.4,2.4,19218097
2020-09-30,2.6,3.28,2.36,2.86,2.86,119118704
2020-09-29,1.75,2.23,1.65,2.13,2.13,14453309
2020-09-28,1.58,1.62,1.5,1.58,1.58,1267950
2020-09-25,1.54,1.63,1.5,1.55,1.55,2437070
2020-09-24,1.88,1.9,1.44,1.78,1.78,18248996
2020-09-23,1.49,1.51,1.38,1.43,1.43,769651
2020-09-22,1.54,1.54,1.47,1.51,1.51,544056
2020-09-21,1.59,1.59,1.47,1.53,1.53,736623
2020-09-18,1.56,1.6,1.53,1.58,1.58,620035
2020-09-17,1.46,1.62,1.46,1.54,1.54,785847
2020-09-16,1.56,1.63,1.5,1.52,1.52,910271
2020-09-15,1.7,1.72,1.56,1.6,1.6,879965
2020-09-14,1.54,1.68,1.5333,1.67,1.67,1234297
2020-09-11,1.57,1.5895,1.47,1.52,1.52,1021934
2020-09-10,1.5,1.83,1.5,1.54,1.54,6226905
2020-09-09,1.41,1.47,1.38,1.41,1.41,495796
2020-09-08,1.4,1.49,1.32,1.41,1.41,916203
2020-09-04,1.43,1.46,1.31,1.38,1.38,1366287
2020-09-03,1.59,1.6,1.44,1.45,1.45,1315074
2020-09-02,1.59,1.6,1.53,1.59,1.59,632938
2020-09-01,1.64,1.64,1.55,1.59,1.59,860736
2020-08-31,1.7,1.75,1.61,1.65,1.65,843916
2020-08-28,1.72,1.79,1.65,1.69,1.69,1607964
2020-08-27,1.74,1.74,1.66,1.68,1.68,550896
2020-08-26,1.66,1.75,1.66,1.72,1.72,521895
2020-08-25,1.72,1.74,1.65,1.7,1.7,972076
2020-08-24,1.78,1.785,1.7,1.72,1.72,693176
2020-08-21,1.78,1.78,1.71,1.76,1.76,790776
2020-08-20,1.81,1.81,1.73,1.78,1.78,917297
2020-08-19,1.82,1.85,1.77,1.82,1.82,1012651
2020-08-18,1.9,1.99,1.8,1.83,1.83,1095252
2020-08-17,1.98,1.99,1.86,1.89,1.89,1140820
2020-08-14,1.94,2.09,1.92,1.97,1.97,891268
2020-08-13,1.9,2.02,1.86,1.91,1.91,1965246
2020-08-12,2.02,2.1,2.0,2.05,2.05,944432
2020-08-11,2.16,2.1973,1.96,2.0,2.0,1898649
2020-08-10,2.19,2.255,2.15,2.16,2.16,1069930
2020-08-07,2.2,2.33,2.18,2.18,2.18,1343803
2020-08-06,2.35,2.361,2.01,2.23,2.23,2530849
2020-08-05,2.65,2.73,2.35,2.46,2.46,3440958
2020-08-04,2.39,2.8,2.36,2.56,2.56,5765525
2020-08-03,2.29,2.4,2.29,2.35,2.35,1281551
2020-07-31,2.35,2.35,2.25,2.29,2.29,807707
2020-07-30,2.27,2.37,2.25,2.35,2.35,1189798
2020-07-29,2.23,2.32,2.2,2.29,2.29,1139053
2020-07-28,2.29,2.3,2.17,2.23,2.23,986971
2020-07-27,2.44,2.48,2.23,2.27,2.27,1873053
2020-07-24,2.29,2.48,2.13,2.4,2.4,3411951
2020-07-23,2.43,2.5,2.21,2.26,2.26,2456363
2020-07-22,2.22,2.42,2.15,2.4,2.4,2942484
2020-07-21,2.24,2.265,2.12,2.22,2.22,1352874
2020-07-20,2.28,2.295,2.15,2.23,2.23,2495405
2020-07-17,2.04,2.43,2.03,2.15,2.15,7678223
2020-07-16,1.82,1.99,1.735,1.99,1.99,1378669
2020-07-15,1.75,1.87,1.71,1.82,1.82,1466259
2020-07-14,1.8,1.825,1.63,1.71,1.71,2081829
2020-07-13,1.92,1.92,1.827,1.83,1.83,1715721
2020-07-10,1.96,2.05,1.89,1.93,1.93,1757399
2020-07-09,1.95,1.96,1.75,1.88,1.88,3034002
2020-07-08,2.05,2.05,1.9,1.94,1.94,2627776
2020-07-07,2.1,2.14,2.01,2.03,2.03,2212677
2020-07-06,2.15,2.18,2.08,2.15,2.15,1881024
2020-07-02,2.13,2.17,2.09,2.12,2.12,1117536
2020-07-01,2.25,2.25,2.09,2.12,2.12,1543769
2020-06-30,2.13,2.23,2.07,2.2,2.2,1420455
2020-06-29,2.11,2.2,2.05,2.12,2.12,1501093
2020-06-26,2.19,2.19,2.08,2.1,2.1,2421055
