Date,Open,High,Low,Close,Adj Close,Volume
2021-02-12,19.08,19.09,18.4,18.99,18.99,2344763
2021-02-11,20.68,20.72,18.08,19.02,19.02,5378670
2021-02-10,20.4066,22.5,20.03,20.37,20.37,6677464
2021-02-09,20.64,20.8999,20.0,20.15,20.15,3033361
2021-02-08,20.79,21.98,20.0,20.92,20.92,4089540
2021-02-05,21.54,22.0,20.02,21.2,21.2,3720911
2021-02-04,21.99,23.75,20.35,21.37,21.37,10076523
2021-02-03,16.9,20.35,16.6108,20.14,20.14,8160927
2021-02-02,17.53,18.0,16.45,16.58,16.58,3517832
2021-02-01,18.4997,18.4997,15.9,17.02,17.02,5551812
2021-01-29,17.76,20.8,17.5,17.74,17.74,5380826
2021-01-28,20.9937,22.0,16.5217,18.14,18.14,6297598
2021-01-27,19.71,22.1056,17.45,19.74,19.74,7633568
2021-01-26,24.11,24.11,21.02,22.31,22.31,8829799
2021-01-25,25.5,29.3699,20.51,24.37,24.37,17634268
2021-01-22,18.18,24.1899,17.27,22.9,22.9,21799352
2021-01-21,16.386,20.48,15.9,19.16,19.16,23247159
2021-01-20,13.38,16.52,13.08,15.3,15.3,13359397
2021-01-19,12.17,13.95,11.6,13.4,13.4,8247218
2021-01-15,12.15,13.35,10.93,11.355,11.355,11223878
2021-01-14,11.44,13.05,11.322,12.51,12.51,13588598
2021-01-13,10.55,11.79,9.69,10.69,10.69,10500737
2021-01-12,8.07,11.29,8.07,10.91,10.91,26081833
2021-01-11,7.46,8.4378,7.02,7.95,7.95,5907199
2021-01-08,8.13,8.75,7.51,8.0,8.0,15163688
2021-01-07,6.65,9.1,6.65,9.03,9.03,38513525
2021-01-06,5.25,6.36,5.1801,5.8,5.8,16284281
2021-01-05,4.96,5.13,4.76,4.99,4.99,3116475
2021-01-04,5.13,5.25,4.5701,4.7,4.7,4358665
2020-12-31,5.28,5.42,5.03,5.12,5.12,3731648
2020-12-30,5.06,5.36,4.95,5.31,5.31,3105557
2020-12-29,5.5444,5.59,4.62,4.91,4.91,6460345
2020-12-28,5.14,5.64,4.955,5.39,5.39,7527989
2020-12-24,5.1777,5.19,4.8,4.91,4.91,3617938
2020-12-23,4.63,5.33,4.61,4.92,4.92,11177245
2020-12-22,4.5366,4.55,4.13,4.5,4.5,6592753
2020-12-21,4.6535,4.7,4.31,4.32,4.32,7254859
2020-12-18,4.3117,5.26,4.3,4.84,4.84,8758365
2020-12-17,4.39,4.415,4.23,4.36,4.36,1745343
2020-12-16,4.5835,4.59,4.23,4.42,4.42,2310200
